weight:1.200000---avg:0.119767 mseX:0.020165 mseY:0.029943 mseS:0.025054
weight:1.200000---avg:0.120960 mseX:0.021176 mseY:0.030258 mseS:0.025717
weight:1.200000---avg:0.121122 mseX:0.020970 mseY:0.029697 mseS:0.025333
weight:1.200000---avg:0.121446 mseX:0.021725 mseY:0.030121 mseS:0.025923
weight:1.200000---avg:0.120534 mseX:0.021318 mseY:0.029442 mseS:0.025380
weight:1.200000---avg:0.119916 mseX:0.020618 mseY:0.029866 mseS:0.025242
weight:1.200000---avg:0.121060 mseX:0.021434 mseY:0.029690 mseS:0.025562
weight:1.200000---avg:0.120436 mseX:0.021346 mseY:0.028556 mseS:0.024951
weight:1.200000---avg:0.119738 mseX:0.020439 mseY:0.030066 mseS:0.025252
weight:1.200000---avg:0.121610 mseX:0.021499 mseY:0.030095 mseS:0.025797
weight:1.200000---avg:0.122998 mseX:0.021658 mseY:0.029396 mseS:0.025527
weight:1.200000---avg:0.121038 mseX:0.020455 mseY:0.032091 mseS:0.026273
weight:1.200000---avg:0.124043 mseX:0.021879 mseY:0.031370 mseS:0.026624
weight:1.200000---avg:0.118813 mseX:0.020175 mseY:0.029668 mseS:0.024922
weight:1.200000---avg:0.121449 mseX:0.020951 mseY:0.031166 mseS:0.026058
weight:1.200000---avg:0.120164 mseX:0.020427 mseY:0.030321 mseS:0.025374
weight:1.200000---avg:0.129190 mseX:0.023005 mseY:0.036011 mseS:0.029508
weight:1.200000---avg:0.122790 mseX:0.021437 mseY:0.029554 mseS:0.025495
weight:1.200000---avg:0.122280 mseX:0.021847 mseY:0.029016 mseS:0.025432
weight:1.200000---avg:0.120397 mseX:0.020010 mseY:0.031046 mseS:0.025528
weight:1.200000---avg:0.122470 mseX:0.021700 mseY:0.031848 mseS:0.026774
weight:1.200000---avg:0.121774 mseX:0.021208 mseY:0.031242 mseS:0.026225
weight:1.200000---avg:0.126325 mseX:0.021408 mseY:0.037056 mseS:0.029232
weight:1.200000---avg:0.123736 mseX:0.021694 mseY:0.031762 mseS:0.026728
weight:1.200000---avg:0.129203 mseX:0.021902 mseY:0.039649 mseS:0.030775
weight:1.200000---avg:0.123801 mseX:0.020640 mseY:0.032311 mseS:0.026476
weight:1.200000---avg:0.121313 mseX:0.020317 mseY:0.031782 mseS:0.026049
weight:1.200000---avg:0.123450 mseX:0.021266 mseY:0.032476 mseS:0.026871
weight:1.200000---avg:0.125265 mseX:0.021414 mseY:0.033375 mseS:0.027394
weight:1.200000---avg:0.120868 mseX:0.021373 mseY:0.030042 mseS:0.025707
weight:1.200000---avg:0.123625 mseX:0.020345 mseY:0.035540 mseS:0.027943
weight:1.200000---avg:0.125201 mseX:0.021628 mseY:0.033423 mseS:0.027525
weight:1.200000---avg:0.124365 mseX:0.021136 mseY:0.033198 mseS:0.027167
weight:1.200000---avg:0.123971 mseX:0.021542 mseY:0.033291 mseS:0.027416
weight:1.200000---avg:0.121823 mseX:0.020737 mseY:0.031894 mseS:0.026315
weight:1.200000---avg:0.123277 mseX:0.020899 mseY:0.033045 mseS:0.026972
weight:1.200000---avg:0.112641 mseX:0.019384 mseY:0.025527 mseS:0.022455
weight:1.200000---avg:0.116389 mseX:0.018994 mseY:0.028304 mseS:0.023649
weight:1.200000---avg:0.116800 mseX:0.019042 mseY:0.026927 mseS:0.022984
weight:1.200000---avg:0.116132 mseX:0.019739 mseY:0.026753 mseS:0.023246
weight:1.200000---avg:0.113857 mseX:0.018397 mseY:0.027065 mseS:0.022731
weight:1.200000---avg:0.116939 mseX:0.019072 mseY:0.026937 mseS:0.023004
weight:1.200000---avg:0.114923 mseX:0.018380 mseY:0.029569 mseS:0.023974
weight:1.200000---avg:0.118615 mseX:0.019956 mseY:0.029444 mseS:0.024700
weight:1.200000---avg:0.114256 mseX:0.018586 mseY:0.027119 mseS:0.022853
weight:1.200000---avg:0.119233 mseX:0.019779 mseY:0.028220 mseS:0.024000
weight:1.200000---avg:0.116209 mseX:0.019706 mseY:0.026849 mseS:0.023277
weight:1.200000---avg:0.114356 mseX:0.019265 mseY:0.026756 mseS:0.023010
weight:1.200000---avg:0.114342 mseX:0.018326 mseY:0.027958 mseS:0.023142
weight:1.200000---avg:0.114766 mseX:0.019622 mseY:0.026851 mseS:0.023237
weight:1.200000---avg:0.114595 mseX:0.019158 mseY:0.027200 mseS:0.023179
weight:1.200000---avg:0.117063 mseX:0.018714 mseY:0.028277 mseS:0.023495
weight:1.200000---avg:0.117572 mseX:0.019757 mseY:0.027142 mseS:0.023450
weight:1.200000---avg:0.116394 mseX:0.019469 mseY:0.027188 mseS:0.023328
weight:1.200000---avg:0.115730 mseX:0.018514 mseY:0.028904 mseS:0.023709
weight:1.200000---avg:0.115945 mseX:0.018816 mseY:0.027630 mseS:0.023223
weight:1.200000---avg:0.121189 mseX:0.020625 mseY:0.030825 mseS:0.025725
weight:1.200000---avg:0.116291 mseX:0.019347 mseY:0.028366 mseS:0.023856
weight:1.200000---avg:0.115504 mseX:0.018337 mseY:0.028730 mseS:0.023533
weight:1.200000---avg:0.114915 mseX:0.018831 mseY:0.027795 mseS:0.023313
weight:1.200000---avg:0.115367 mseX:0.018111 mseY:0.028921 mseS:0.023516
weight:1.200000---avg:0.117570 mseX:0.018763 mseY:0.029465 mseS:0.024114
weight:1.200000---avg:0.116118 mseX:0.019484 mseY:0.027452 mseS:0.023468
weight:1.200000---avg:0.115838 mseX:0.019497 mseY:0.028326 mseS:0.023911
weight:1.200000---avg:0.117551 mseX:0.019763 mseY:0.029484 mseS:0.024624
weight:1.200000---avg:0.114609 mseX:0.018422 mseY:0.027645 mseS:0.023034
weight:1.200000---avg:0.119048 mseX:0.019669 mseY:0.030171 mseS:0.024920
